Company Name,Rating,Average Salary,Role
Thomson Reuters,3.7,"10,50,000",Data Scientist
Coupa Software Inc,4.1,"13,77,198",Data Scientist
Markytics,4.4,"41,667",Data Scientist - Monthly
Virtual Employee,3.8,"53,078",Data Scientist - Monthly
Infosys BPM,3.6,"8,82,567",Data Scientist
Shyena Tech Yarns,3.8,"4,20,786",Data Scientist
Pentation Analytics,3.1,"5,86,419",Data Scientist
Thoughtworks,4.1,"9,40,000",Data Scientist
Knowledge Foundry,4.6,"10,18,490",Data Scientist
Anonymous,3.8,"11,10,642",Data Scientist
Locus,3.6,"23,54,960",Data Scientist
Tata Steel,4.1,"15,24,097",Data Scientist
Uber,3.9,"21,00,000",Data Scientist
Yes Bank,3.8,"12,51,051",Data Scientist
Exela Technologies,3.1,"16,00,000",Data Scientist
Smart Energy Water,3.1,"6,63,602",Data Scientist
Aditya Birla Group,4.1,"12,62,358",Data Scientist
1mg,3.7,"13,30,387",Data Scientist
Hypersonix (CA),3.8,"15,80,000",Data Scientist
Zoho,4.5,"12,00,000",Data Scientist
Piramal Enterprises,3.8,"73,638",Data Scientist - Monthly Intern
DBS Bank,4,"14,08,050",Data Scientist
Exposys Data Labs,3.9,"37,473",Data Scientist - Monthly Intern
Teradata,3.8,"12,19,277",Data Scientist
Searce,3.6,"7,73,862",Data Scientist
PharmEasy,3.5,"13,00,000",Data Scientist
upGrad,4.1,"8,88,514",Data Scientist
YouPlus,2.6,"14,41,303",Data Scientist
Lotus Interworks,4.4,"68,378",Data Scientist - Monthly
Playpower Labs,4.5,"12,00,000",Data Scientist
Tata AIG General Insurance,3.7,"15,61,270",Data Scientist
Bank of America,4,"13,60,801",Data Scientist
ascena,3.3,"16,13,750",Data Scientist
Alumnus Software,4.1,"6,24,508",Data Scientist
Foundation AI,4.1,"16,00,000",Data Scientist
Tatras Data,3.6,"10,74,624",Data Scientist
Oriserve,4.4,"13,00,000",Data Scientist
Navidium,3.8,"7,07,079",Data Scientist
OLX Group,3.8,"23,00,000",Data Scientist
Boston Consulting Group,4.3,"21,23,120",Data Scientist
Barclays,4,"20,81,693",Data Scientist
AppyHigh Technology,4.6,"13,00,000",Data Scientist
AlgonoX Technologies,3.8,"7,10,000",Data Scientist
ANZ,4.1,"15,77,948",Data Scientist
OYO,3.3,"35,847",Data Scientist - Monthly Intern
Boeing,3.9,"21,78,877",Data Scientist
Meta,3.9,"10,00,000",Data Scientist
InMobi,4.2,"22,00,000",Data Scientist
Fresherworld.com,4,"7,58,181",Data Scientist
ATCS,4,"10,24,193",Data Scientist
National Payments Corporation of India,3.3,"7,20,000",Data Scientist
Humonics,3.2,"10,00,000",Data Scientist
Artivatic Data Labs,3.6,"7,99,485",Data Scientist
HSBC Electronic Data Processing India,3.9,"18,93,537",Data Scientist
Simpl,3.7,"13,00,000",Data Scientist
Merkle,3.7,"11,77,281",Data Scientist
InViz AI Solutions,3,"8,50,000",Data Scientist
Analytical Wizards,4.7,"8,24,403",Data Scientist
PayU,3.8,"22,05,459",Data Scientist
Tata Consultancy Services,3.9,"4,20,000",Data Scientist
Birlasoft,3.6,"8,20,011",Data Scientist
Comviva,3.7,"9,41,400",Data Scientist
Scry AI,4,"20,00,000",Data Scientist
State Bank of India,3.7,"13,53,578",Data Scientist
Texas Instruments,4.1,"29,00,000",Data Scientist
Elucidata (MA),4.2,"11,66,877",Data Scientist
Blinkit,3.7,"19,93,678",Data Scientist
LendingKart,3.9,"11,74,065",Data Scientist
Ideas2IT,4.4,"22,46,038",Data Scientist
Blackcoffer,4.7,"25,523",Data Scientist - Monthly
Bajaj Finserv Health,4.2,"11,42,417",Data Scientist
GlobalData,3.4,"10,42,542",Data Scientist
Big Data Scientists,4.6,"8,34,034",Data Scientist
ACL Digital,4,"7,00,000",Data Scientist
First Student,3.9,"61,365",Data Scientist - Monthly
Blue Sky Analytics,3.3,"38,872",Data Scientist - Monthly
XYZ Tech,4,"7,00,126",Data Scientist
.Kreate,4.2,"4,28,174",Data Scientist
Evalueserve,3.9,"11,00,000",Data Scientist
Fresher,4.1,"5,00,000",Data Scientist
AXA,4,"12,64,228",Data Scientist
ValueLabs,4.3,"11,40,412",Data Scientist
Commonwealth Bank of Australia,4,"17,60,000",Data Scientist
Google,4.4,"5,00,000",Data Scientist
iOPEX Technologies,3.6,"4,81,048",Data Scientist
Karza Technologies,4.6,"12,92,084",Data Scientist
GE Digital,3.6,"16,82,525",Data Scientist
Vedantu,3.5,"12,18,936",Data Scientist
TEKsystems,4,"10,88,740",Data Scientist
Monsoon (India),4.1,"77,019",Data Scientist - Monthly
Lenovo,4,"17,81,907",Data Scientist
CreditNirvana,4,"12,92,668",Data Scientist
Neewee,3,"83,498",Data Scientist - Monthly
SLK Group,3.7,"7,55,000",Data Scientist
NetApp,4.1,"25,96,202",Data Scientist
ThinkBridge,3.8,"8,11,850",Data Scientist
Guavus,3.1,"16,28,063",Data Scientist
Capgemini Engineering,3.7,"11,75,525",Data Scientist
Sopra Steria,3.8,"12,88,440",Data Scientist
VE Commercial Vehicles,3.6,"5,81,797",Data Scientist
Harsha,3.8,"11,09,245",Data Scientist
Elegant MicroWeb,4.4,"42,002",Data Scientist - Monthly
Finarb,3.8,"17,05,615",Data Scientist
Globant,4.3,"12,74,508",Data Scientist
Sravathi AI Technology,4.4,"8,34,934",Data Scientist
Samsung Electronics,3.8,"20,65,558",Data Scientist
Dream11,3.6,"22,18,139",Data Scientist
IVL Global,3.8,"7,16,362",Data Scientist
CRISIL,3.9,"13,02,867",Data Scientist
Chistats,4.7,"7,58,468",Data Scientist
Landmark Group,3.9,"17,29,219",Data Scientist
Mahindra Integrated Business Solutions,3.4,"10,07,263",Data Scientist
Dr. Reddy's,4,"22,00,000",Data Scientist
AI Variant,4.2,"1,70,000",Data Scientist - Intern
ADF Data Science,4,"9,95,127",Data Scientist
Hdfc,3.7,"81,419",Data Scientist - Monthly
Razorpay,4,"17,98,177",Data Scientist
Indus Insights,2.8,"16,50,000",Data Scientist
Xceedance,3.7,"8,30,161",Data Scientist
Smiths Detection,3.5,"20,20,011",Data Scientist
AB InBev,3.9,"18,22,206",Data Scientist
Netomi,4.5,"18,73,112",Data Scientist
Limeroad,3.7,"12,83,777",Data Scientist
Easyrewardz Software Services,3.4,"5,50,000",Data Scientist
Reserve Bank Information Technology,3.5,"15,50,000",Data Scientist
App Orchid,4.5,"1,28,552",Data Scientist - Monthly
Yubi,3.3,"21,00,000",Data Scientist
ABC,3.9,"6,55,232",Data Scientist - Intern
ZestMoney,4.3,"15,49,484",Data Scientist
Defence Research & Development Organisation,4.4,"7,77,661",Data Scientist - Intern
Joveo,4.2,"28,10,019",Data Scientist
AI Variant,4.2,"3,25,000",Data Scientist
CRMnext,3.6,"6,95,000",Data Scientist
AntWorks,3.2,"12,66,769",Data Scientist
Metacube Software Pvt. Ltd.,4.1,"10,27,192",Data Scientist
Safaltek Software,2.9,"54,466",Data Scientist - Monthly
AGS Health,4,"4,63,552",Data Scientist
Elpis IT Solutions,4,"16,18,145",Data Scientist
BA Continuum India,4.3,"12,47,989",Data Scientist
D&B Technologies,3.8,"10,62,500",Data Scientist
Visa Inc.,4.1,"18,10,947",Data Scientist
Zeta Suite,3.7,"23,45,198",Data Scientist
HERE Technologies,3.6,"12,50,648",Data Scientist
GroupM,3.9,"14,17,531",Data Scientist
Blend360,4.2,"20,50,000",Data Scientist
Dure Technologies,3.3,"14,16,385",Data Scientist
Accenture Solutions,4.1,"18,50,000",Data Scientist
Yodlee,3.7,"23,85,322",Data Scientist
GAIN Credit (formerly Global Analytics),3.3,"21,67,373",Data Scientist
Wipro Digital,3.8,"7,98,602",Data Scientist
udaan.com,3.6,"22,24,193",Data Scientist
Draup,4.1,"19,64,379",Data Scientist
Baker Hughes,3.9,"16,73,163",Data Scientist
Motilal Oswal Financial Services,3.7,"6,34,761",Data Scientist
Ugam,3.8,"8,39,869",Data Scientist
IndusInd Bank,3.4,"13,00,000",Data Scientist
Iris Software,4.3,"15,90,273",Data Scientist
Morgan Stanley,4,"23,77,862",Data Scientist
3LOQ Labs,2.9,"9,11,303",Data Scientist
Ey,3.9,"9,50,000",Data Scientist
Tridiagonal Solutions,3.4,"6,00,000",Data Scientist
ARMSOFTECH.AIR,4.5,"6,43,171",Data Scientist
Conduent,3.1,"8,92,656",Data Scientist
United Airlines,4,"29,02,288",Data Scientist
KhataBook,3.7,"26,40,608",Data Scientist
Pivotchain Solutions,4.4,"8,50,000",Data Scientist
Xoriant,3.8,"17,76,558",Data Scientist
Naukri.com,3.7,"26,62,334",Data Scientist
Freelancer,4.2,"39,261",Data Scientist - Monthly
Wipro,3.8,"10,81,426",Data Scientist
Tesco Bengaluru,3.9,"19,31,372",Data Scientist
Gyan Data,4.1,"5,22,807",Data Scientist
FourKites,3.9,"12,04,270",Data Scientist
Google,4.4,"2,84,052",Data Scientist
Healofy,4.1,"27,44,122",Data Scientist
Skoruz,4.6,"11,53,581",Data Scientist
Tietoevry,4.2,"8,58,407",Data Scientist
IIT Madras,4.5,"54,149",Data Scientist - Monthly
Cognizant Technology Solutions,3.8,"36,310",Data Scientist - Monthly Intern
GoLorry,2.5,"7,65,317",Data Scientist
iQuanti,3.7,"22,08,388",Data Scientist
Fresher,4.1,"17,333",Data Scientist - Monthly Intern
Red Hat,4.2,"14,19,842",Data Scientist
GeakMinds,4.7,"5,15,000",Data Scientist
Mobile Premier League,4,"26,48,872",Data Scientist
Trell,3.7,"12,61,245",Data Scientist
Shubh Loans,3.9,"10,01,281",Data Scientist
Ericsson India Global services Pvt. Ltd.,4.3,"14,80,000",Data Scientist
Inshorts,4.5,"30,92,340",Data Scientist
Saama Technologies,4,"9,69,493",Data Scientist
Nucot,4.9,"6,00,000",Data Scientist
Unilever,4.1,"13,55,577",Data Scientist
Brain Vision Technology,4.4,"5,15,000",Data Scientist
Lincode,3.2,"6,83,777",Data Scientist
Analytics Vidhya,4,"13,198",Data Scientist - Monthly Intern
Cartesian Consulting,3.5,"8,37,733",Data Scientist
General Mills,4.1,"12,65,509",Data Scientist
HCL,3.7,"6,80,479",Data Scientist
Zummit Infolabs,4.1,"6,57,258",Data Scientist
UBS,3.9,"13,93,544",Data Scientist
XYZ,3.8,"8,09,677",Data Scientist
HT Media,3.5,"17,96,327",Data Scientist
STL - Sterlite Technologies Limited,3.5,"11,37,917",Data Scientist
Zoomcar,3.4,"12,49,869",Data Scientist
HighRadius,3.7,"33,686",Data Scientist - Monthly Intern
Cipla,3.9,"7,37,500",Data Scientist
JPMorgan Chase & Co,4,"16,00,000",Data Scientist
Hakkasan Group,3.7,"6,11,073",Data Scientist
Technocolabs,3.5,"20,000",Data Scientist - Monthly Intern
Acronotics,3.3,"18,00,000",Data Scientist
Mavenir,3.7,"12,30,016",Data Scientist
Pikky,4.9,"7,62,048",Data Scientist
NICE Actimize,4.3,"17,32,813",Data Scientist
Tata Group,4,"10,40,847",Data Scientist
Quinbay,4.1,"18,00,000",Data Scientist
Tatvic Analytics,3.6,"4,09,677",Data Scientist
Wabtec,3.7,"18,33,282",Data Scientist
