Company Name,Rating,Average Salary,Role
Deccan Infosystems,3.7,5L -6L,Data Scientist
Sudhanshu & Co.,3.9,1L -2L,Data Scientist - Intern
Epicenter Technologies,3.6,14T -16T,Data Scientist - Monthly
Trimble,4.3,20L -22L,Data Scientist
PlayShifu,3.7,8L -9L,Data Scientist
First Student,3.9,20T -21T,Data Scientist - Monthly
Pranjal,4.5,5L -5L,Data Scientist
GlobalFoundries,3.4,9L -10L,Data Scientist - Contractor
Artigiani Technologies,,7L -8L,Data Scientist
Upwork,4.1,14L -16L,Data Scientist
Stealth Mode Startup,4,1L -1L,Data Scientist - Monthly
Wildlife Conservation Society,3.9,19T -21T,Data Scientist - Monthly Intern
Athena Global Education,4.6,5L -5L,Data Scientist
Cepheid,3.5,10L -10L,Data Scientist
HelloSivi,4.5,6L -7L,Data Scientist
Population Council,3.3,1L -1L,Data Scientist - Monthly
ShapeAI,4.1,4L -4L,Data Scientist - Intern
Billtech Labs,5,39T -42T,Data Scientist - Monthly
Starcom Information Technology,2.9,8L -8L,Data Scientist
Sequoia,3.9,26L -28L,Data Scientist
Centre for Digital Financial Inclusion,4.5,51T -54T,Data Scientist - Monthly
Yasha Academy,5,29 -31,Data Scientist - Hourly
Asqure Technologies,4.3,$2L -$2L,Data Scientist
CustomerXPs,3.5,8L -8L,Data Scientist
Northcorp Software,4.4,97T -1L,Data Scientist - Intern
iKen Solutions,3.4,12L -13L,Data Scientist
iPredictt Data Science Labs,3,25T -27T,Data Scientist - Monthly
SocialTek AI and ML Business Solutions,4.2,24T -26T,Data Scientist - Monthly
Books-A-Million,3.1,26T -28T,Data Scientist - Monthly Contractor
Poornima University,3.6,5L -5L,Data Scientist
Technocolabs,3.5,10T -10T,Data Scientist - Monthly
ZTE,3.8,48T -52T,Data Scientist - Monthly
Skandiabanken,4.3,20L -22L,Data Scientist
Bridgeweave,4,12L -13L,Data Scientist
Loop Reality,4.5,5L -5L,Data Scientist
RAM,3.8,29T -31T,Data Scientist - Monthly
Bayer,4.1,10L -10L,Data Scientist - Contractor
Tesco Bengaluru,3.9,7L -8L,Data Scientist
AP Jobs,2.4,15T -17T,Data Scientist - Monthly
Neeyamo Enterprise Solutions,3.6,5L -5L,Data Scientist
Metyis,4.3,30L -33L,Data Scientist
SmartDocs,3.3,3L -4L,Data Scientist
Capital One,4.2,26T -29T,Data Scientist - Monthly Intern
Tanvir & Taniya,4,20T -21T,Data Scientist
Garver,4.4,12L -13L,Data Scientist
Betsol,3.9,9L -9L,Data Scientist
CogniTensor,3.8,8L -9L,Data Scientist
ProtoTech Solutions,3.9,3L -3L,Data Scientist
Wipro,3.8,4L -5L,Data Scientist - Contractor
Rapido,4.2,32T -34T,Data Scientist - Monthly Intern
Solubix Technologies,4.5,6L -6L,Data Scientist
Versuche Technologies,4.7,12L -12L,Data Scientist
Zifo RnD Solutions,4.5,4L -5L,Data Scientist - Intern
Synthesis Winding Technology,3.2,4L -4L,Data Scientist
Sarda Agro Oils,3.6,14T -16T,Data Scientist - Monthly
ABB,4,29T -31T,Data Scientist - Monthly
Random,4.1,10L -10L,Data Scientist
Peak,3.3,22L -23L,Data Scientist
Nuclei Technologies,4.3,5L -5L,Data Scientist
Presidency University (Bangalore),3.2,7L -8L,Data Scientist
Vmoksha Technologies,4,5L -5L,Data Scientist
Oracuz Info Tech,3.9,5L -6L,Data Scientist
Goodyear,3.7,95T -1L,Data Scientist - Monthly
SankalpTaru Foundation,3.8,25T -28T,Data Scientist - Monthly
Trigent Software,4.1,76T -84T,Data Scientist - Monthly
ABM Industries,3.1,15L -16L,Data Scientist
MVJ SOFT,5,8L -9L,Data Scientist
Darshan Soft-Tech,3.8,3L -3L,Data Scientist
Maania,3.8,97T -1L,Data Scientist - Monthly
way.com,3.8,73T -80T,Data Scientist - Monthly
Webi7,4.1,78T -84T,Data Scientist - Monthly
American Airlines,3.8,6L -7L,Data Scientist
Italian Institute of Technology,3.9,73T -80T,Data Scientist - Monthly
Peninsular Research Operation,3.7,15L -15L,Data Scientist
Supreem Pharmaceuticals Mysore,3.6,22T -23T,Data Scientist - Monthly
Pragati Software,3.2,10T -10T,Data Scientist - Monthly
IT People,4.2,30L -32L,Data Scientist
Ramco Systems,3.7,2L -2L,Data Scientist
GoFreeLab Technologies,3.6,1L -1L,Data Scientist - Intern
Microsoft Theater,4.7,98T -1L,Data Scientist - Monthly Contractor
OnPassive,3.9,26T -28T,Data Scientist - Monthly Intern
Cisco Systems,4.4,12L -12L,Data Scientist
Bharati Vidyapeeth’s College of Engineering,3.5,10L -11L,Data Scientist
ABC Tech,4.2,61T -66T,Data Scientist - Monthly
Tata Consultancy Services,3.9,$10T -$11T,Data Scientist - Monthly Intern
Zomato,3.9,14T -16T,Data Scientist - Monthly
ESmob Technologies,4.5,8L -8L,Data Scientist
Integra Micro Software Services (P),4.1,10L -11L,Data Scientist
ThoughtFocus,4.1,3L -4L,Data Scientist
Infinx Healthcare,3.8,11L -12L,Data Scientist
_VOIS,4.3,20T -22T,Data Scientist - Monthly
DZS Inc.,4.4,72T -78T,Data Scientist - Monthly
Varanda Grill,3.3,17T -19T,Data Scientist - Monthly
Skillsoft,3.2,11L -13L,Data Scientist
Indian Institute of Technology Bombay,4.6,19T -21T,Data Scientist - Monthly Contractor
Entro Labs It Solutions,4.7,49T -53T,Data Scientist - Monthly
Secret Technologies India (VMS Group),4.4,8L -9L,Data Scientist
Yugen Ai,5,12L -12L,Data Scientist
The Learning Experience,3.5,3L -3L,Data Scientist
LeadSquared,3.4,15L -17L,Data Scientist
Data poem,4,4L -4L,Data Scientist - Intern
Andhra Pradesh Board of Intermediate Education,,5L -5L,Data Scientist
Invizo Technologies,4.7,7L -8L,Data Scientist
Modern Tech Arrays,5,5L -5L,Data Scientist
Punjab National Bank,3.9,80T -86T,Data Scientist - Monthly
Jovie,3.9,20T -21T,Data Scientist - Monthly
o9 Solutions,4,13L -15L,Data Scientist
ST Unitas,2.7,10T -11T,Data Scientist - Monthly Intern
Factly Media & Research,5,5L -5L,Data Scientist
Dr. B.V. Raju Institute of Technology,4.4,46T -50T,Data Scientist - Monthly
eTeam,4.2,7L -8L,Data Scientist - Contractor
Agile Cockpit,3.2,33T -36T,Data Scientist - Monthly
Xome,4,15L -16L,Data Scientist
skit.ai,3.7,15L -16L,Data Scientist
Cancer Institute,3.7,4L -4L,Data Scientist
Losch Engineering,5,1L -1L,Data Scientist - Monthly Intern
EX Squared,4.4,13L -14L,Data Scientist
Teva Pharmaceuticals,3.6,6L -7L,Data Scientist
Cygnet Infotech,4,10T -10T,Data Scientist - Monthly
MentorrBuddy,,5L -5L,Data Scientist
Lam Research,4,12L -13L,Data Scientist
CarDekho,4.2,10T -10T,Data Scientist - Monthly Intern
Sankhya Analytical Research,3.5,49T -53T,Data Scientist - Monthly
Adani Group,3.9,95T -1L,Data Scientist - Intern
Corteva Agriscience,4.1,36L -39L,Data Scientist
Kashish Corporation,4.4,3L -3L,Data Scientist
Vinod,3.6,4L -4L,Data Scientist
John Doe,3.8,5L -5L,Data Scientist
Mahindra and Mahindra,3.9,4L -4L,Data Scientist
Metteyya Analytics,,15L -16L,Data Scientist
Aptus Health,3.8,41T -45T,Data Scientist - Monthly Contractor
N B Navale Sinhgad College of Engineering,4.3,9L -9L,Data Scientist
XYZ (Turkey),3.9,34T -37T,Data Scientist - Monthly
Hexagon,3.9,9L -10L,Data Scientist
Huawei Technologies,3.7,82T -88T,Data Scientist - Monthly
Trident Information Systems,4.7,5L -5L,Data Scientist
VJTI,4.3,36T -39T,Data Scientist - Monthly Intern
Innovatios Technology,5,12T -13T,Data Scientist - Monthly
Pisyst,4.7,1L -1L,Data Scientist - Monthly Intern
VE Commercial Vehicles,3.6,56T -60T,Data Scientist - Monthly Intern
Forage AI,3.7,14L -16L,Data Scientist
Smith Micro,3.5,30L -33L,Data Scientist
DaDa,3.4,$59T -$63T,Data Scientist
Zomato,3.9,$48T -$52T,Data Scientist
Shorewise Consulting,4.3,5L -5L,Data Scientist
Screatives,4.6,12L -13L,Data Scientist
KreditBee,3.5,29T -31T,Data Scientist - Monthly
Matellio,4.4,10T -11T,Data Scientist - Monthly Intern
SAS,4,13L -14L,Data Scientist
iMerit,3.8,48T -52T,Data Scientist - Monthly
Teras Tech Solutions,4,9L -10L,Data Scientist
Motion Infotech,5,19L -21L,Data Scientist
Environmental Resources Group,5,19T -21T,Data Scientist - Monthly Intern
Vamsi Pharma,,10L -11L,Data Scientist
9Media Online,4.7,6L -6L,Data Scientist
AKQA,3.9,46T -50T,Data Scientist - Monthly
Argus System,4.9,6L -6L,Data Scientist
Magnaquest,3.8,3L -3L,Data Scientist
VALUE C CONSULTING SERVICES,,6L -7L,Data Scientist
Saffrony Institute of Technology,4,4L -4L,Data Scientist
Izz Oman,5,1L -1L,Data Scientist
UnitedHealth Group,3.6,10L -10L,Data Scientist
Mystro,4,3L -3L,Data Scientist
PCS Global Tech,4.7,7T -7T,Data Scientist - Monthly Intern
DataBonker Technologies,5,5L -5L,Data Scientist
Applebee's,3.5,5L -6L,Data Scientist
Shiva,3.9,5L -5L,Data Scientist
Convergytics,4.4,22T -24T,Data Scientist - Monthly Intern
Financial Software & Systems,3.5,11L -12L,Data Scientist
Hemanth Industries,4.3,46L -50L,Data Scientist
Delhivery,4.3,14L -16L,Data Scientist
Optimized Solutions,3.1,41T -44T,Data Scientist - Monthly
Bath & Body Works,3.8,39L -42L,Data Scientist
Smiths Interconnect,3,3L -4L,Data Scientist
Fireblaze Technologies,5,3L -3L,Data Scientist - Intern
Cognizant Microsoft Business Group,3.3,75L -81L,Data Scientist
FORE SOLUTIONS,4,8L -9L,Data Scientist
PBI Analytics,5,7L -7L,Data Scientist
Tesla,3.6,$96T -$1L,Data Scientist
FedEx,3.6,16L -17L,Data Scientist
Vertipride Solutions,4.6,10L -11L,Data Scientist
Bhairav,2.3,7L -7L,Data Scientist
John Crane,3.6,4L -5L,Data Scientist
Telesto Energy,5,3L -3L,Data Scientist
Agoda,4.3,26L -28L,Data Scientist
OLX Autos,3.5,13L -15L,Data Scientist - Intern
Shopclues,3.8,9T -10T,Data Scientist - Monthly Intern
Revolut,3.8,28L -30L,Data Scientist
MyCityWay,3.8,24L -27L,Data Scientist
IQVIA,4,$6L -$7L,Data Scientist
Absolute,3.6,7L -7L,Data Scientist
Levi Strauss,3.9,31L -34L,Data Scientist - Contractor
CoRover,5,20L -22L,Data Scientist
Qzense Labs,,12L -13L,Data Scientist
Oriental College of Technology Bhopal (MP),2.4,26T -28T,Data Scientist - Monthly
DJ Alexander,4.1,5L -5L,Data Scientist
Games24x7,4.4,1L -2L,Data Scientist - Monthly Intern
Feso Social Media,,27T -29T,Data Scientist - Monthly
Entrust,3.5,40T -43T,Data Scientist - Monthly
Jocata,3.8,15T -16T,Data Scientist - Monthly Intern
Harshit Info Solutions,4,11L -12L,Data Scientist
Affle,3.7,9L -10L,Data Scientist
Valorem Reply,4.2,15L -16L,Data Scientist
INODE INK,4,5L -5L,Data Scientist
Force Motors,2.8,2L -2L,Data Scientist
VIMANA,4.7,12L -13L,Data Scientist
Software.com,3.3,2L -2L,Data Scientist
SolutionBuggy,4.2,5L -5L,Data Scientist
Monty Telecom Development,4.2,7L -7L,Data Scientist
Adef-Gresivaudan,,4L -5L,Data Scientist - Contractor
Honeywell,4,5L -5L,Data Scientist
Vervenest,3.3,3L -4L,Data Scientist
Express Analytics,4.4,9L -10L,Data Scientist
Audify,4.1,33L -35L,Data Scientist - Intern
Netscribes,3.7,7L -7L,Data Scientist
Trendwise Analytics,4.5,5L -6L,Data Scientist
Sony,4.1,17L -19L,Data Scientist
Jobs for the Future,3.8,7L -8L,Data Scientist
Armorblox,4.2,8L -9L,Data Scientist
Fresher,4.1,£5L -£5L,Data Scientist
Tealium,3.9,10L -10L,Data Scientist
Teleglobal International,4.7,5L -5L,Data Scientist
CamCom,4,10L -10L,Data Scientist
Accelerate Diagnostics,3.4,9L -10L,Data Scientist
Arcadis,4.1,12L -13L,Data Scientist
WebShar,4.6,9L -10L,Data Scientist
Flensburger,3.4,10L -10L,Data Scientist
SCORG Technologies,3.9,6L -7L,Data Scientist
Novartis,4,27T -29T,Data Scientist - Monthly Intern
Inflexion Analytics,4.7,6L -7L,Data Scientist
Fullstack Academy,4.1,12T -13T,Data Scientist - Monthly Intern
L&Z Assessoria Contábil,,2L -2L,Data Scientist
Aryavart Institute of Technology,5,13L -14L,Data Scientist
Quadratic Insights,4,24T -27T,Data Scientist - Monthly Intern
6sense,4.3,16L -18L,Data Scientist
Automation Anywhere,3.9,31L -34L,Data Scientist
Anblicks,4.1,40T -44T,Data Scientist - Monthly
Fluentgrid,4.4,9L -10L,Data Scientist
Ruchi Group,3.9,44L -47L,Data Scientist
DLF Brands,3.9,15L -17L,Data Scientist
Sam Houston State,3.9,3L -3L,Data Scientist
Gi Group Holding,3.8,5L -5L,Data Scientist
Aurify Systems,,6L -6L,Data Scientist - Intern
Genesis Group Software Developers,4.3,2L -2L,Data Scientist
RPG Group,3.8,21L -23L,Data Scientist
VWR International,3.3,6L -6L,Data Scientist
CapitaWorld,,19L -21L,Data Scientist
Hindustan Times,3.6,10T -10T,Data Scientist - Monthly Intern
Aman Gupta,4.1,3L -3L,Data Scientist
Indian School of Business,3.9,49T -54T,Data Scientist - Monthly Contractor
You Are Here,4.2,36T -40T,Data Scientist - Monthly
AJIO,3.5,15T -16T,Data Scientist - Monthly Intern
HRDevi Talent Acquisition,3.8,24L -26L,Data Scientist
Sharma & Associates,3.6,4L -4L,Data Scientist - Contractor
Saisree Engineers,3,5L -5L,Data Scientist
DGLiger Consulting,4.7,8T -9T,Data Scientist - Monthly Intern
Wipro,3.1,25T -28T,Data Scientist - Monthly
EVERSANA INTOUCH,4,34L -37L,Data Scientist
EY-Parthenon,4.1,13L -13L,Data Scientist
Minion Solutions,3.7,8L -9L,Data Scientist
ALTRANS,3.4,13L -14L,Data Scientist
Adarsh Co-operative Bank,3.5,21T -23T,Data Scientist - Monthly
San Diego State University,4,6L -6L,Data Scientist
Informatica,4.1,61T -66T,Data Scientist - Monthly
Self Opportunity,4.3,9L -10L,Data Scientist
Celebal Technologies,4.1,6L -6L,Data Scientist
Cactuslab,5,10L -10L,Data Scientist
Irfan Lalani MD PA,4.2,96T -1L,Data Scientist - Monthly
Digital Lync,4.1,4L -4L,Data Scientist
Verizon,3.9,14L -15L,Data Scientist
MathWorks,4.5,6L -7L,Data Scientist
Sazi Máquinas,4.4,9L -10L,Data Scientist
White Swan Global,5,8L -8L,Data Scientist
Primus Global Services,3.9,10T -11T,Data Scientist - Monthly Intern
Titan Company,4.1,8L -9L,Data Scientist
Nilesh Paper Products,4.4,5L -5L,Data Scientist - Intern
Aran Group,4.5,12L -13L,Data Scientist
SAI Technology,2.4,5L -6L,Data Scientist
ThinkBumblebee Analytics,4.5,10T -11T,Data Scientist - Monthly Intern
QuantumPoint,2.3,5L -5L,Data Scientist
Keydabra,3.8,6L -6L,Data Scientist
National Engineering Industries,3.6,29T -31T,Data Scientist - Monthly Contractor
Softtronix IT Solution,4,2L -2L,Data Scientist
TechieNest,3.3,98T -1L,Data Scientist - Intern
Datamanager,4.1,20T -22T,Data Scientist - Monthly
ESCIA Associes,4.2,2L -2L,Data Scientist
Honey,3,7L -8L,Data Scientist
Hippodrome Casino,3.7,1L -1L,Data Scientist - Monthly
DataArt,4.6,14L -16L,Data Scientist
Opera Solutions,3.2,25L -27L,Data Scientist
PharmaACE,3.6,7L -8L,Data Scientist
Whirlpool Corporation,4,3L -3L,Data Scientist
Insight Centre for Data Analytics,4.5,10L -11L,Data Scientist
"Goverment of Uttarakhand, India",4.2,6L -7L,Data Scientist
Sif Homes,5,12L -13L,Data Scientist
dataZen Engineering,4.1,15T -16T,Data Scientist - Monthly
Menon & Menon,3.7,2L -2L,Data Scientist - Intern
Quantiphi,3.6,13T -14T,Data Scientist - Monthly Intern
T-Mobile,3.8,10L -11L,Data Scientist
ICICI Bank,3.7,$2L -$2L,Data Scientist
Agastya,2.8,6L -6L,Data Scientist
CROPIN TECHNOLOGY SOLUTIONS,3.5,57T -63T,Data Scientist - Monthly
Stealth Startup,4.2,11L -12L,Data Scientist - Contractor
Shubham Housing Development Finance,3.8,3L -3L,Data Scientist
Noodle.ai,3.8,26T -29T,Data Scientist - Monthly Intern
Beatroot Technologies,,5L -6L,Data Scientist
HNB Garhwal University,3.1,33T -36T,Data Scientist - Monthly Contractor
Nokia,4.2,5L -5L,Data Scientist
AltraSys,2.1,3L -4L,Data Scientist - Intern
AqualiteUS,3.2,1L -2L,Data Scientist
Nhai,4.4,81T -88T,Data Scientist - Monthly
Future Consumer Enterprise,3,20L -21L,Data Scientist
Center for Railway Information Systems,3.7,10L -10L,Data Scientist - Intern
Sociometrik,5,36T -39T,Data Scientist - Monthly
Enum Informatics,4,4L -4L,Data Scientist
CredR,4.1,9L -10L,Data Scientist
UnitedHealth Group,3.7,14L -14L,Data Scientist
Frontline Consulting Services,3.7,10L -10L,Data Scientist - Contractor
PSG College of Technology,4.1,12L -13L,Data Scientist
Capgemini,3.8,3L -3L,Data Scientist
Panduit,3.6,16L -17L,Data Scientist
Datamatics Global Services,3.5,3L -4L,Data Scientist - Intern
Zephyr,3.9,10L -11L,Data Scientist
Raju Tech,3.8,6L -6L,Data Scientist
Devialet,3.5,CA$6T -CA$6T,Data Scientist
Insurance Information Bureau of India,4,43T -47T,Data Scientist - Monthly
Expert Freelancer Inc.,4.5,5L -6L,Data Scientist
Sukshi,3.4,32T -35T,Data Scientist - Monthly
Intelliwings,5,15T -16T,Data Scientist - Monthly
Praktice Ai,2.4,32T -35T,Data Scientist - Monthly Intern
Accion Labs,4,34T -36T,Data Scientist - Monthly Intern
BitLogic Software,4.4,4L -4L,Data Scientist
Netcracker Technology,3.8,18L -19L,Data Scientist
The Network Hub,4.5,3L -4L,Data Scientist
Nxtra Data,3.4,20T -22T,Data Scientist - Monthly
a2z Development Center,3.5,75T -81T,Data Scientist - Intern
Public Affairs Center,2.8,8L -8L,Data Scientist
Scintel Technologies,4,15L -16L,Data Scientist
National Centre for Biological Sciences,4.2,4L -5L,Data Scientist
NicheSolv,4.7,12T -14T,Data Scientist - Monthly Intern
1Gen,4.7,8L -9L,Data Scientist
SolarWinds,3.6,10L -11L,Data Scientist
FM Logistic,3.5,14T -15T,Data Scientist - Monthly Contractor
Symbiosis Institute of Computer Studies and Research,3.6,5L -5L,Data Scientist
NTT Ltd.,3.9,555 -602,Data Scientist - Hourly
Strokx Technologies,3.7,2L -3L,Data Scientist
Expedia Group,4.1,9L -10L,Data Scientist - Contractor
Novitu Soft Labs,3,2L -2L,Data Scientist
TheMathCompany,4.1,6L -6L,Data Scientist - Intern
Dexpro Innovations,4.5,19T -21T,Data Scientist - Monthly
NIT Trichy,4.3,12T -13T,Data Scientist - Monthly Intern
Dr. Dennis Gross Skincare,3.5,97T -1L,Data Scientist
AlmaBetter,4.2,24T -26T,Data Scientist - Monthly Intern
J. Kumar Infraprojects,3.5,12L -13L,Data Scientist
ValueFirst Digital Media,3.9,17T -18T,Data Scientist - Monthly Intern
SPS Commerce,4.2,29T -32T,Data Scientist - Monthly
PRM Fincon,3.7,21L -22L,Data Scientist
Defence Research & Development Organisation,4.4,98T -1L,Data Scientist
AppViewX,3.5,20L -22L,Data Scientist
Intellect Design Arena,4.1,11T -12T,Data Scientist - Monthly Intern
Amphisoft Technologies,3.2,35L -38L,Data Scientist - Contractor
Contentstack,4.3,4L -4L,Data Scientist
Société Générale de Presse,5,14L -15L,Data Scientist
RS Software,3.7,6L -7L,Data Scientist
Rakuten,3.7,1L -2L,Data Scientist
Quint Digital,2.8,7T -8T,Data Scientist - Monthly
Zolve (India),2.5,14L -16L,Data Scientist
Happiest Minds Technologies,4.3,8L -8L,Data Scientist
Total Assault,4,10L -11L,Data Scientist
Curl (India),,9L -10L,Data Scientist
Kyvor Genomics,4.5,9L -10L,Data Scientist - Contractor
Devic Earth,4.4,5L -5L,Data Scientist
Capillary Technologies,4.1,14L -14L,Data Scientist
SONARI,,8L -9L,Data Scientist
Enterprise Bot,3.9,14L -15L,Data Scientist
Pastelcube Technologies,5,29T -32T,Data Scientist - Monthly
AppliedAICourse,4.1,6L -7L,Data Scientist
Nineleaps Technology Solutions,4.3,8L -9L,Data Scientist
MResult,4.4,6L -6L,Data Scientist - Contractor
Pankaj Joshi Consultancy,3.4,5L -6L,Data Scientist
Swami Vivekanand Group of Institutions,4,5L -5L,Data Scientist
KIE Square Consulting,3.7,67T -72T,Data Scientist - Monthly
Mintifi,4,9L -10L,Data Scientist
DRG Concepts,4,15L -16L,Data Scientist
North American Corporation,4.1,60T -64T,Data Scientist - Monthly Contractor
Umedica Laboratories,3.9,2L -2L,Data Scientist
Wavestone,4,35L -38L,Data Scientist - Contractor
DONE by NONE,4,5L -6L,Data Scientist
"NextEra Energy, Inc.",3.8,97T -1L,Data Scientist - Monthly
Python Developer,4.3,4L -5L,Data Scientist
SomeOne,4.3,6L -6L,Data Scientist
Mopro,3,14L -16L,Data Scientist
Husqvarna Group,3.8,91T -99T,Data Scientist - Monthly
XYZ,3.8,4L -4L,Data Scientist - Contractor
Student Loans Company,3,6L -6L,Data Scientist
Fellowship.AI,3.7,31L -33L,Data Scientist
Unacademy,3.7,98 -106,Data Scientist - Hourly
Zaechel International,3.7,15L -16L,Data Scientist
C-DAC,3.8,5L -5L,Data Scientist - Intern
Srinivas Group,3.7,3L -3L,Data Scientist
VHS Consulting,3.5,6L -6L,Data Scientist - Contractor
AMD,4.2,68T -73T,Data Scientist - Monthly
NNE,4.2,16L -17L,Data Scientist
Goodwill,3.3,16T -17T,Data Scientist - Monthly
Amazon Lab126,3.7,52T -56T,Data Scientist - Intern
Mywbut,4.4,6L -6L,Data Scientist
Kainv Global,,98T -1L,Data Scientist - Monthly
Ezzy Infotech,4.3,6L -6L,Data Scientist
AB InBev,3.9,14L -16L,Data Scientist - Intern
Energy Exemplar,4.3,1L -1L,Data Scientist
Chegg,4.1,14T -16T,Data Scientist - Monthly
Pozitive Energy,3.9,8L -8L,Data Scientist
Innoviti,2.9,22T -24T,Data Scientist - Monthly Intern
Velankani Group,3.1,96T -1L,Data Scientist - Monthly
Heaven Explorer,,48L -53L,Data Scientist
Paninian India,3,8L -8L,Data Scientist
Kudos Finance and Investments,4.4,34T -37T,Data Scientist - Monthly
Blue Shield Of California,3.9,10L -11L,Data Scientist
EFKON INDIA PVT,3.7,6L -6L,Data Scientist
Adobe,4.4,2L -2L,Data Scientist - Monthly
Aditya Birla Capital,4,16L -17L,Data Scientist
Dr.Subhendu Mohanty,,13L -15L,Data Scientist
Yulu Bikes,4.2,23L -25L,Data Scientist
Stanza Living,3.2,99T -1L,Data Scientist - Monthly
Oracle,3.9,12L -13L,Data Scientist
CIED Technologies,4.7,9L -10L,Data Scientist
The Sparks Foundation,3.8,5L -6L,Data Scientist
Bounce,3.9,32T -36T,Data Scientist - Monthly Intern
360DigiTMG,4.6,4L -4L,Data Scientist
Bharti Airtel,4.2,4L -4L,Data Scientist
Litmus World,4.2,12L -13L,Data Scientist
Linde,3.8,20L -22L,Data Scientist
Usha International Limited,3.9,22L -24L,Data Scientist
IMS Learning Resources,3.8,6L -6L,Data Scientist
C-DAC,3.8,5L -5L,Data Scientist
Inmar,3.6,6L -7L,Data Scientist
Great Learning,4,25T -28T,Data Scientist - Monthly Intern
Anko,4.3,15L -16L,Data Scientist
EnKash,4.6,4L -5L,Data Scientist
Sahajanand Medical Technologies,4.2,5L -5L,Data Scientist - Contractor
Extramarks,3.7,14T -16T,Data Scientist - Monthly Intern
Moody's Investors Service,3.9,12L -13L,Data Scientist
Institut Multidisciplinaire de Biochimie des Lipides,,98T -1L,Data Scientist - Monthly
"SIES College of Arts, Science & Commerce",4.1,3L -3L,Data Scientist
Jupitice Justice Technologies,3.7,5L -5L,Data Scientist
Capgemini,3.8,5L -5L,Data Scientist
Motorq,5,1L -1L,Data Scientist - Monthly Intern
St. John’s Research Institute,4.2,49T -53T,Data Scientist - Monthly
Sravathi Advance Process Technologies,4.1,30T -33T,Data Scientist - Monthly Intern
TuringMinds.Ai,2.6,6L -6L,Data Scientist
Dean Group,4.6,5L -5L,Data Scientist - Monthly
Arthmate,4.2,14L -16L,Data Scientist
Shine,4.5,8L -8L,Data Scientist
Essprom Consultants,3.5,24T -25T,Data Scientist - Monthly
National Thermal Power,4.3,23L -25L,Data Scientist - Contractor
Tookitaki,4.5,CA$10T -CA$11T,Data Scientist - Monthly
RAK Analytic Solutions,3.9,4L -5L,Data Scientist
SKF,3.8,8L -9L,Data Scientist
Redback,4.1,2L -3L,Data Scientist
SIBIA Analytics and Consulting Services,3.8,20T -22T,Data Scientist - Monthly
Careerlink Management Consultants,,54T -58T,Data Scientist - Monthly
Insight Data Science,3.8,8L -8L,Data Scientist
Congregation Brit Shalom,4,6L -7L,Data Scientist
Yamaha Motor Solutions India,3.5,10L -11L,Data Scientist
Publicis Groupe,3.9,7L -7L,Data Scientist
360DigiTMG,4.6,7T -7T,Data Scientist - Monthly Intern
YouTube,4.4,56T -62T,Data Scientist - Monthly
ModeliCon InfoTech,4,34T -36T,Data Scientist - Monthly
Grail Insights,3.5,15L -16L,Data Scientist
HDNET,4,6L -6L,Data Scientist
Telstra,3.9,20L -22L,Data Scientist
Skill Vendors,4.2,14L -15L,Data Scientist
Bidgely,4,17L -18L,Data Scientist - Intern
SilverNeuron Consulting,3.2,10L -11L,Data Scientist
WheelsEye Technology,3.9,29L -31L,Data Scientist
Annalect,3.9,69T -74T,Data Scientist - Monthly
Allsec,3.4,20T -22T,Data Scientist - Monthly
Lathrop Gage,3,43T -47T,Data Scientist - Monthly
Evertz Microsystems,3.2,5L -5L,Data Scientist
RAACOM Infosystems,2.8,8L -9L,Data Scientist
Redington Group,4.3,1L -1L,Data Scientist - Monthly
IIIT Hyderabad,4.5,38T -41T,Data Scientist - Monthly
HigherEdLab,4,2L -2L,Data Scientist
Arya.ai,4.2,£12L -£13L,Data Scientist
Cogito Tech LLC,4.5,8L -8L,Data Scientist
Carrier,3.6,23L -25L,Data Scientist
Dhiraj & Dheeraj,4,6L -6L,Data Scientist
Innodatatics,4.3,15T -16T,Data Scientist - Monthly
Société Générale,3.5,95L -1Cr,Data Scientist
Tetra Pak,4.2,10L -11L,Data Scientist
Masai School,4.2,10L -10L,Data Scientist
AV Solutions,4.1,£2L -£2L,Data Scientist
Corvi LED Light,3.5,52T -56T,Data Scientist - Monthly
TheRightDoctors,3.4,3L -3L,Data Scientist
Unyscape Infocom,4.4,5L -5L,Data Scientist
Rubicon Red,4.8,55T -59T,Data Scientist - Monthly
Lambdanets,3.9,11L -12L,Data Scientist
Geoinsyssoft,5,5L -6L,Data Scientist
Mechademy Engineering Solutions,4.9,19L -20L,Data Scientist
Vivriti Capital,4.5,21T -23T,Data Scientist - Monthly Intern
Duratech Solutions,4.7,2L -3L,Data Scientist
MiQ,3.9,£19L -£20L,Data Scientist
Techions Software Labs,,24L -26L,Data Scientist
Eat Local Eat Natural,4,27T -29T,Data Scientist - Monthly Intern
Walmart Global Tech,3.9,8L -9L,Data Scientist - Contractor
Lokyata,5,15L -16L,Data Scientist
Nice,3.8,10L -11L,Data Scientist
Banaras Hindu University,4.4,9L -9L,Data Scientist
Analysts,4.2,8L -9L,Data Scientist
Bharat Soft Solutions,4.5,$87T -$93T,Data Scientist
Yoyo,4.2,1L -1L,Data Scientist
VAMA Industries,3.7,50T -54T,Data Scientist - Monthly
Harshit Info Solutions,4,5L -6L,Data Scientist - Intern
Xoanon Analytics,3.9,12L -13L,Data Scientist
Jaitra,2.9,15L -17L,Data Scientist
